video_id,title,channel,late_prob,early_prob,nn_prob,mean_fake_prob
iP2lH2EEr9I,The REAL STORY of Climate Skeptics New Favorite Graph,PBS Terra,0.7124286354996137,0.8499056031609332,0.8754570335149765,0.8125970907251744
UkhaC6Pc0ZM,The Environmental Effects of Climate Change On Our Planet | Breakthrough,Curiosity Stream,0.6645576537273367,0.7899758041205794,0.9471661187708378,0.8005665255395846
tRA2SfSk2Tc,How I Think About Climate Change,StarTalk,0.6538314219512665,0.8041712834260505,0.9347781166434288,0.7975936073402486
NhMU1tBL4EI,Is climate change a hoax?,Lex Clips,0.618906073523506,0.7720704520152409,0.9602695554494858,0.7837486936627442
Z-Uv9rJCXYQ,"Human-caused climate change led to unusual heat worldwide, report shows",CBS News,0.6072060332131869,0.7319357587702321,0.9255622774362564,0.7549013564732251
r_Dpkn_wi54,Climate Change is Affecting Our Health. Is There a Cure? | Jonathan Patz | TEDxOshkosh,TEDx Talks,0.642887903200384,0.73393051402159,0.8803077936172485,0.7523754036130742
ZkLeIMjpWYU,Hilarious 'Global Warming Hoax' Argument By Michele Bachmann,The Young Turks,0.6660786446637199,0.7507272338924349,0.8178514391183853,0.7448857725581801
2njn71TqkjA,What Earth in 2050 could look like - Shannon Odell,TED-Ed,0.5911337694287339,0.7221308093221337,0.9013065472245216,0.7381903753251297
-BvcToPZCLI,The most important thing you can do to fight climate change: talk about it | Katharine Hayhoe,TED,0.7092543925105653,0.7477863929784897,0.7178106606006622,0.7249504820299059
9bTMzLCUjnM,Joe Rogan: Climate Change Is A Hoax,JRE ShortClips,0.5675672672697621,0.7126580268481197,0.8685416132211685,0.7162556357796834
P9WU7TjOloQ,Jon Stewart Tackles Climate Change Over the Years | The Daily Show,The Daily Show,0.5624790036023963,0.7713928025261755,0.8059197962284088,0.7132638674523268
n-Z0eG1pKhA,Why Global Warming Is A Hoax,The Valleyfolk,0.4565745325176265,0.770043547551528,0.876024067401886,0.7008807158236802
ZCKRjP_DMII,Can wildlife adapt to climate change? - Erin Eastwood,TED-Ed,0.5825893155328049,0.6488523810358798,0.8453586101531982,0.6922667689072943
7hBMbQ9de1g,When Will Extreme Heat Become Unlivable?,PBS Terra,0.6555463249397329,0.5977803163113538,0.8204785138368607,0.6912683850293156
dcBXmj1nMTQ,What is Climate Change? | Start Here,Al Jazeera English,0.6914056123525792,0.7750927935208456,0.588084876537323,0.6848610941369159
6EFHZfISGp4,Climate Change Activists vs Skeptics: Can They See Eye To Eye? | Middle Ground,Jubilee,0.548938564316483,0.5973396742316279,0.7641019374132156,0.6367933919871088
deAEKPbpSSY,Will Climate Change Make Your Home Uninsurable? | Amy Barnes | TED,TED,0.5539049343459874,0.543140211173428,0.8129231333732605,0.6366560929642253
qROkHxeFpDs,Climate change - from one kid to another | Bandi Guan | TEDxYouth@GrandviewHeights,TEDx Talks,0.5211347147791088,0.6360490760792525,0.7212092280387878,0.6261310062990497
oDyIY1qTNhM,Climate Change Is Already Impacting Our Health,Healthcare Triage,0.4496249675112636,0.5643083363085468,0.6420941352844238,0.5520091463680781
tlWuP7wESZw,Ilissa Ocko: The fastest way to slow climate change now | TED Countdown,TED,0.5134284187117247,0.5294980523974769,0.4167085886001587,0.4865450199031201
bJfrKNR3K2k,'What Percent Of Our Atmosphere Is CO2?': Doug LaMalfa Stumps Entire Panel With Climate Questions,Forbes Breaking News,0.4315018581323326,0.5,0.4896745681762695,0.47372547543620075
JywsWktvODc,how climate affects community health - full video,Centers for Disease Control and Prevention (CDC),0.3980291741212539,0.507260789949795,0.2605966329574585,0.3886288656761691
LRQWXFCaOGs,What One Person Can Do About Climate Change | Ella Lagé | TEDxHamburg,TEDx Talks,0.56091017588654,0.4245687073110445,0.1671781539916992,0.3842190123964279
Y1mPWVzaGQY,What is Climate Change?: Crash Course Biology #8,CrashCourse,0.4739523524012164,0.4639058130295895,0.1184422373771667,0.3521001342693242
